,Client 1,,Client 2,,Client 3,
Time,RT,STD,RT,STD,RT,STD
2390,14548,10407.66,16201,11484.53,14791,8335.21
2395,15808,10828.11,14854,8758.94,15524,10429.13
2400,14488,10865.17,16308,12176.37,15165,12570.32
2405,15149,10055.29,14316,8598.81,14556,8995.84
2410,14193,8797.74,14124,8096.5,13866,7904.79
2415,14007,7637.37,14983,10516.82,14839,10304.8
2420,14897,12539.38,15742,11511.16,14791,11407.3
2425,14878,9298.87,15854,34367.22,16097,33889.98
2430,15763,35484.78,15523,14684.07,14767,14395.15
2435,14618,9941.54,15429,12743.13,14877,10754.01
2440,15618,12955.37,15067,8329.92,14281,10366.19
2445,13633,8249.37,14187,8940.2,14243,8886.95
2450,14922,8967.4,15418,9891.34,15093,8844.6
2455,14795,10749.84,15690,13552.7,15459,13936.61
2460,16037,26065.24,16107,24427.46,15663,24020.3
2465,14096,7967.56,14949,9578.3,14499,9102.09
2470,14825,10088.79,15561,12963.4,15196,12820.19
2475,15329,14076.82,15662,13259.87,15053,12918.94
2480,14691,11635.72,14498,7577.44,14129,7945.46
2485,14603,17911.35,16300,20405.81,15417,19714.62
2490,14583,11032.28,14772,11351.28,14548,11311.58
2495,14206,11540.2,14175,10095.19,13874,10210.1
2500,13278,9017.61,14006,8980,13767,8837.42
2505,14203,9859.91,14770,8888.33,14190,8695.41
2510,14401,8881.81,16148,16435.11,15157,15698.63
2515,15557,15415.46,15393,8062.3,14619,7296.58
2520,14858,8172.32,13279,7341.48,13530,7802.34
2525,12826,8706.14,17280,10306.98,15888,9403.56
2530,16778,8884.15,16543,8398.22,16545,8669.65
2535,16766,8600.35,17357,8414.98,16891,8310.22
2540,15479,7656.52,16422,8528.22,15514,8513.13
2545,17387,9591.74,18203,9603.78,17458,9224.92
2550,17453,8711.77,18237,8566.4,16857,7975.8
2555,17437,8123,16516,7742.61,16422,7715.64
2560,15914,7457.89,17348,9578.96,16459,9064.24
2565,16981,10430.55,18313,10690.59,17730,10848.8
2570,17533,9934.87,17540,8363.42,17006,7449.09
2575,17325,8627.51,17765,8224.45,16858,8379.64
2580,16427,7544.85,16301,10056.67,15506,7483.24
